#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCA_000303555.2	PRJNA65951	SAMN00808704	AMUU00000000.1	na	1005541	562	Escherichia coli EC1846	strain=EC1846		latest	Scaffold	Minor	Full	2012/10/12	ASM30355v2	Institute for Genome Sciences	GCF_000303555.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/555/GCA_000303555.2_ASM30355v2	
GCA_000303575.2	PRJNA65947	SAMN00808703	AMUT00000000.1	na	1005539	562	Escherichia coli EC1737	strain=EC1737		latest	Scaffold	Minor	Full	2012/10/12	ASM30357v2	Institute for Genome Sciences	GCF_000303575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/575/GCA_000303575.2_ASM30357v2	
GCA_000303595.2	PRJNA65945	SAMN00808702	AMUS00000000.1	na	1005538	562	Escherichia coli EC1736	strain=EC1736		latest	Scaffold	Minor	Full	2012/10/12	ASM30359v2	Institute for Genome Sciences	GCF_000303595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/595/GCA_000303595.2_ASM30359v2	
GCA_000303615.2	PRJNA65943	SAMN00808701	AMUR00000000.1	na	1005537	562	Escherichia coli EC1735	strain=EC1735		latest	Scaffold	Minor	Full	2012/10/12	ASM30361v2	Institute for Genome Sciences	GCF_000303615.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/615/GCA_000303615.2_ASM30361v2	
GCA_000303635.2	PRJNA66003	SAMN00808700	AMUQ00000000.1	na	1005567	562	Escherichia coli N1	strain=N1		latest	Scaffold	Minor	Full	2012/10/12	ASM30363v2	Institute for Genome Sciences	GCF_000303635.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/635/GCA_000303635.2_ASM30363v2	
GCA_000303655.2	PRJNA66001	SAMN00808699	AMUP00000000.1	na	1005566	562	Escherichia coli 07798	strain=07798		latest	Scaffold	Minor	Full	2012/10/12	ASM30365v2	Institute for Genome Sciences	GCF_000303655.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/655/GCA_000303655.2_ASM30365v2	
GCA_000303675.2	PRJNA65881	SAMN00794576	AMUO00000000.1	na	1005506	562	Escherichia coli PA38	strain=PA38		latest	Scaffold	Minor	Full	2012/10/12	ASM30367v2	Institute for Genome Sciences	GCF_000303675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/675/GCA_000303675.2_ASM30367v2	
GCA_000303695.2	PRJNA65879	SAMN00794575	AMTR00000000.1	na	1005505	562	Escherichia coli PA34	strain=PA34		latest	Scaffold	Minor	Full	2012/10/12	ASM30369v2	Institute for Genome Sciences	GCF_000303695.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/695/GCA_000303695.2_ASM30369v2	
GCA_000303715.2	PRJNA65761	SAMN00794577	AMTS00000000.1	na	1005474	562	Escherichia coli FDA506	strain=FDA506		latest	Scaffold	Minor	Full	2012/10/12	ASM30371v2	Institute for Genome Sciences	GCF_000303715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/715/GCA_000303715.2_ASM30371v2	
GCA_000303735.2	PRJNA65757	SAMN00794578	AMTT00000000.1	na	1005472	562	Escherichia coli FDA507	strain=FDA507		latest	Scaffold	Minor	Full	2012/10/12	ASM30373v2	Institute for Genome Sciences	GCF_000303735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/735/GCA_000303735.2_ASM30373v2	
GCA_000303755.2	PRJNA65753	SAMN00794580	AMTU00000000.1	na	1005470	562	Escherichia coli FDA504	strain=FDA504		latest	Scaffold	Minor	Full	2012/10/12	ASM30375v2	Institute for Genome Sciences	GCF_000303755.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/755/GCA_000303755.2_ASM30375v2	
GCA_000303775.2	PRJNA65767	SAMN00794579	AMTV00000000.1	na	1005477	562	Escherichia coli FRIK1999	strain=FRIK1999		latest	Scaffold	Minor	Full	2012/10/12	ASM30377v2	Institute for Genome Sciences	GCF_000303775.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/775/GCA_000303775.2_ASM30377v2	
GCA_000303795.2	PRJNA65773	SAMN00794581	AMTW00000000.1	na	1005480	562	Escherichia coli FRIK1997	strain=FRIK1997		latest	Scaffold	Minor	Full	2012/10/12	ASM30379v2	Institute for Genome Sciences	GCF_000303795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/795/GCA_000303795.2_ASM30379v2	
GCA_000303815.2	PRJNA65835	SAMN00794582	AMTX00000000.1	na	1005485	562	Escherichia coli NE1487	strain=NE1487		latest	Scaffold	Minor	Full	2012/10/12	ASM30381v2	Institute for Genome Sciences	GCF_000303815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/815/GCA_000303815.2_ASM30381v2	
GCA_000303835.2	PRJNA65833	SAMN00794583	AMTY00000000.1	na	1005484	562	Escherichia coli NE037	strain=NE037		latest	Scaffold	Minor	Full	2012/10/12	ASM30383v2	Institute for Genome Sciences	GCF_000303835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/835/GCA_000303835.2_ASM30383v2	
GCA_000303855.2	PRJNA65771	SAMN00794584	AMTZ00000000.1	na	1005479	562	Escherichia coli FRIK2001	strain=FRIK2001		latest	Scaffold	Minor	Full	2012/10/12	ASM30385v2	Institute for Genome Sciences	GCF_000303855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/855/GCA_000303855.2_ASM30385v2	
GCA_000303875.2	PRJNA65843	SAMN00794585	AMUA00000000.1	na	1005489	562	Escherichia coli PA4	strain=PA4		latest	Scaffold	Minor	Full	2012/10/12	ASM30387v2	Institute for Genome Sciences	GCF_000303875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/875/GCA_000303875.2_ASM30387v2	
GCA_000303895.2	PRJNA65861	SAMN00794586	AMUB00000000.1	na	1005498	562	Escherichia coli PA23	strain=PA23		latest	Scaffold	Minor	Full	2012/10/12	ASM30389v2	Institute for Genome Sciences	GCF_000303895.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/895/GCA_000303895.2_ASM30389v2	
GCA_000303915.2	PRJNA65897	SAMN00794587	AMUC00000000.1	na	1005514	562	Escherichia coli PA49	strain=PA49		latest	Scaffold	Minor	Full	2012/10/12	ASM30391v2	Institute for Genome Sciences	GCF_000303915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/915/GCA_000303915.2_ASM30391v2	
GCA_000303935.2	PRJNA65891	SAMN00794588	AMUD00000000.1	na	1005511	562	Escherichia coli PA45	strain=PA45		latest	Scaffold	Minor	Full	2012/10/12	ASM30393v2	Institute for Genome Sciences	GCF_000303935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/935/GCA_000303935.2_ASM30393v2	
GCA_000303955.2	PRJNA65979	SAMN00794595	AMUE00000000.1	na	1005555	562	Escherichia coli TT12B	strain=TT12B		latest	Scaffold	Minor	Full	2012/10/12	ASM30395v2	Institute for Genome Sciences	GCF_000303955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/955/GCA_000303955.2_ASM30395v2	
GCA_000303975.2	PRJNA65983	SAMN00794597	AMUF00000000.1	na	1005557	562	Escherichia coli MA6	strain=MA6		latest	Scaffold	Minor	Full	2012/10/12	ASM30397v2	Institute for Genome Sciences	GCF_000303975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/975/GCA_000303975.2_ASM30397v2	
GCA_000303995.2	PRJNA65985	SAMN00794592	AMUG00000000.1	na	1005558	562	Escherichia coli 5905	strain=5905		latest	Scaffold	Minor	Full	2012/10/12	ASM30399v2	Institute for Genome Sciences	GCF_000303995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/995/GCA_000303995.2_ASM30399v2	
GCA_000304015.2	PRJNA65987	SAMN00794589	AMUH00000000.1	na	1005559	562	Escherichia coli CB7326	strain=CB7326		latest	Scaffold	Minor	Full	2012/10/12	ASM30401v2	Institute for Genome Sciences	GCF_000304015.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/015/GCA_000304015.2_ASM30401v2	
GCA_000304035.2	PRJNA65989	SAMN00794594	AMUI00000000.1	na	1005560	562	Escherichia coli EC96038	strain=EC96038		latest	Scaffold	Minor	Full	2012/10/12	ASM30403v2	Institute for Genome Sciences	GCF_000304035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/035/GCA_000304035.2_ASM30403v2	
GCA_000304055.2	PRJNA65991	SAMN02435973	AMUJ00000000.1	na	1005561	562	Escherichia coli 5412	strain=5412		latest	Scaffold	Minor	Full	2012/10/12	ASM30405v2	Institute for Genome Sciences	GCF_000304055.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/055/GCA_000304055.2_ASM30405v2	
GCA_000304075.2	PRJNA65993	SAMN00794593	AMUK00000000.1	na	1005562	562	Escherichia coli TW15901	strain=TW15901		latest	Scaffold	Minor	Full	2012/10/12	ASM30407v2	Institute for Genome Sciences	GCF_000304075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/075/GCA_000304075.2_ASM30407v2	
GCA_000304095.2	PRJNA65995	SAMN00806481	AMUL00000000.1	na	1005563	562	Escherichia coli ARS4.2123	strain=ARS4.2123		latest	Scaffold	Minor	Full	2012/10/12	ASM30409v2	Institute for Genome Sciences	GCF_000304095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/095/GCA_000304095.2_ASM30409v2	
GCA_000304115.2	PRJNA65997	SAMN00794596	AMUM00000000.1	na	1005564	562	Escherichia coli TW00353	strain=TW00353		latest	Scaffold	Minor	Full	2012/10/12	ASM30411v2	Institute for Genome Sciences	GCF_000304115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/115/GCA_000304115.2_ASM30411v2	
GCA_000304135.2	PRJNA65999	SAMN00794590	AMUN00000000.1	na	1005565	562	Escherichia coli 3006	strain=3006		latest	Scaffold	Minor	Full	2012/10/12	ASM30413v2	Institute for Genome Sciences	GCF_000304135.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/135/GCA_000304135.2_ASM30413v2	
GCA_000304255.1	PRJNA157425	SAMN02470904	AMSK00000000.1	na	1169664	562	Escherichia coli AD30	strain=AD30		latest	Contig	Major	Full	2012/10/09	ECAD30.1	Seoul National University	GCF_000304255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/255/GCA_000304255.1_ECAD30.1	
GCA_000304815.2	PRJNA65713	SAMN01036685	AMTD00000000.1	na	1005450	562	Escherichia coli 3.4870	strain=3.4870		latest	Scaffold	Minor	Full	2012/11/01	ASM30481v2	Institute for Genome Sciences	GCF_000304815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/815/GCA_000304815.2_ASM30481v2	
GCA_000304835.2	PRJNA65739	SAMN01036880	AMTN00000000.1	na	1005463	562	Escherichia coli 8.0416	strain=8.0416		latest	Contig	Minor	Full	2012/10/10	ASM30483v2	Institute for Genome Sciences	GCF_000304835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/835/GCA_000304835.2_ASM30483v2	
GCA_000304855.2	PRJNA65751	SAMN01036883	AMTO00000000.1	na	1005469	562	Escherichia coli 10.0821	strain=10.0821		latest	Contig	Minor	Full	2012/10/10	ASM30485v2	Institute for Genome Sciences	GCF_000304855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/855/GCA_000304855.2_ASM30485v2	
GCA_000304875.2	PRJNA65717	SAMN01036692	AMTE00000000.1	na	1005452	562	Escherichia coli 5.2239	strain=5.2239		latest	Scaffold	Minor	Full	2012/11/01	ASM30487v2	Institute for Genome Sciences	GCF_000304875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/875/GCA_000304875.2_ASM30487v2	
GCA_000305155.2	PRJNA65723	SAMN01036878	AMTF00000000.1	na	1005455	562	Escherichia coli 6.0172	strain=6.0172		latest	Scaffold	Minor	Full	2012/11/01	ASM30515v2	Institute for Genome Sciences	GCF_000305155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/155/GCA_000305155.2_ASM30515v2	
GCA_000305175.1	PRJNA65737	SAMN01036886	AMTG00000000.1	na	1005462	562	Escherichia coli 8.0566	strain=8.0566		latest	Scaffold	Major	Full	2012/11/01	ASM30517v1	Institute for Genome Sciences	GCF_000305175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/175/GCA_000305175.1_ASM30517v1	
GCA_000305355.1	PRJNA65741	SAMN01036879	AMTH00000000.1	na	1005464	562	Escherichia coli 8.0569	strain=8.0569		latest	Scaffold	Major	Full	2012/11/01	ASM30535v1	Institute for Genome Sciences	GCF_000305355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/355/GCA_000305355.1_ASM30535v1	
GCA_000305375.2	PRJNA65735	SAMN01036881	AMTI00000000.1	na	1005461	562	Escherichia coli 8.0586	strain=8.0586		latest	Scaffold	Minor	Full	2012/11/01	ASM30537v2	Institute for Genome Sciences	GCF_000305375.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/375/GCA_000305375.2_ASM30537v2	
GCA_000305395.2	PRJNA65733	SAMN01036882	AMTJ00000000.1	na	1005460	562	Escherichia coli 8.2524	strain=8.2524		latest	Scaffold	Minor	Full	2012/11/01	ASM30539v2	Institute for Genome Sciences	GCF_000305395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/395/GCA_000305395.2_ASM30539v2	
GCA_000305415.2	PRJNA65745	SAMN01036885	AMTK00000000.1	na	1005466	562	Escherichia coli 10.0833	strain=10.0833		latest	Scaffold	Minor	Full	2012/11/01	ASM30541v2	Institute for Genome Sciences	GCF_000305415.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/415/GCA_000305415.2_ASM30541v2	
GCA_000305435.2	PRJNA65747	SAMN01036887	AMTL00000000.1	na	1005467	562	Escherichia coli 10.0869	strain=10.0869		latest	Scaffold	Minor	Full	2012/11/01	ASM30543v2	Institute for Genome Sciences	GCF_000305435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/435/GCA_000305435.2_ASM30543v2	
GCA_000305455.2	PRJNA65591	SAMN01036884	AMTM00000000.1	na	1005397	562	Escherichia coli 88.0221	strain=88.0221		latest	Scaffold	Minor	Full	2012/11/01	ASM30545v2	Institute for Genome Sciences	GCF_000305455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/455/GCA_000305455.2_ASM30545v2	
GCA_000307205.1	PRJEB50	SAMEA2272189	CAJR00000000.1	na	475609	562	Escherichia coli chi7122	strain=chi7122		latest	Scaffold	Major	Full	2012/08/02	ASM30720v1	WTSI	GCF_000307205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/205/GCA_000307205.1_ASM30720v1	
GCA_000308975.2	PRJEB51	SAMEA2272029	CAJT00000000.1	na	562	562	Escherichia coli	strain=IMT2125		latest	Scaffold	Major	Full	2012/11/09	ASM30897v2	WTSI	GCF_000308975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/975/GCA_000308975.2_ASM30897v2	
GCA_000313405.1	PRJNA175272	SAMN01731796	AMXO00000000.1	na	1232150	562	Escherichia coli O26:H11 str. CFSAN001629	strain=CFSAN001629		latest	Contig	Major	Full	2012/11/19	CFSAN001629_1.0	FDA	GCF_000313405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/405/GCA_000313405.1_CFSAN001629_1.0	
GCA_000313425.1	PRJNA175273	SAMN01731797	AMXP00000000.1	na	1232151	562	Escherichia coli O111:H11 str. CFSAN001630	strain=CFSAN001630		latest	Contig	Major	Full	2012/11/19	CFSAN001630_1.0	FDA	GCF_000313425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/425/GCA_000313425.1_CFSAN001630_1.0	
GCA_000313445.1	PRJNA175275	SAMN01731799	AMXQ00000000.1	na	1232154	562	Escherichia coli O111:H8 str. CFSAN001632	strain=CFSAN001632		latest	Contig	Major	Full	2012/11/19	CFSAN001632_1.0	FDA	GCF_000313445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/445/GCA_000313445.1_CFSAN001632_1.0	
GCA_000316325.2	PRJNA65589	SAMN01041331	ANLH00000000.1	na	1005396	562	Escherichia coli 88.1467	strain=88.1467		latest	Scaffold	Minor	Full	2012/12/12	ASM31632v2	Institute for Genome Sciences	GCF_000316325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/325/GCA_000316325.2_ASM31632v2	
GCA_000316345.2	PRJNA65593	SAMN01041330	ANLI00000000.1	na	1005398	562	Escherichia coli 88.1042	strain=88.1042		latest	Scaffold	Minor	Full	2012/12/12	ASM31634v2	Institute for Genome Sciences	GCF_000316345.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/345/GCA_000316345.2_ASM31634v2	
GCA_000316365.2	PRJNA65595	SAMN01041328	ANLJ00000000.1	na	1005399	562	Escherichia coli 89.0511	strain=89.0511		latest	Scaffold	Minor	Full	2012/12/12	ASM31636v2	Institute for Genome Sciences	GCF_000316365.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/365/GCA_000316365.2_ASM31636v2	
GCA_000316385.2	PRJNA65597	SAMN01041332	ANLK00000000.1	na	1005400	562	Escherichia coli 90.0091	strain=90.0091		latest	Scaffold	Minor	Full	2012/12/12	ASM31638v2	Institute for Genome Sciences	GCF_000316385.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/385/GCA_000316385.2_ASM31638v2	
GCA_000316405.2	PRJNA65599	SAMN01041329	ANLL00000000.1	na	1005401	562	Escherichia coli 90.0039	strain=90.0039		latest	Scaffold	Minor	Full	2012/12/12	ASM31640v2	Institute for Genome Sciences	GCF_000316405.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/405/GCA_000316405.2_ASM31640v2	
GCA_000316425.2	PRJNA65601	SAMN01041333	ANLM00000000.1	na	1005402	562	Escherichia coli 90.2281	strain=90.2281		latest	Scaffold	Minor	Full	2012/12/12	ASM31642v2	Institute for Genome Sciences	GCF_000316425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/425/GCA_000316425.2_ASM31642v2	
GCA_000316445.2	PRJNA65603	SAMN01041334	ANLN00000000.1	na	1005403	562	Escherichia coli 93.0055	strain=93.0055		latest	Scaffold	Minor	Full	2012/12/12	ASM31644v2	Institute for Genome Sciences	GCF_000316445.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/445/GCA_000316445.2_ASM31644v2	
GCA_000316465.1	PRJNA65605	SAMN01041335	ANLO00000000.1	na	1005404	562	Escherichia coli 93.0056	strain=93.0056		latest	Scaffold	Major	Full	2012/12/12	ASM31646v1	Institute for Genome Sciences	GCF_000316465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/465/GCA_000316465.1_ASM31646v1	
GCA_000316485.1	PRJNA65607	SAMN01041339	ANLP00000000.1	na	1005405	562	Escherichia coli 94.0618	strain=94.0618		latest	Scaffold	Major	Full	2012/12/12	ASM31648v1	Institute for Genome Sciences	GCF_000316485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/485/GCA_000316485.1_ASM31648v1	
GCA_000316505.2	PRJNA65637	SAMN01041350	ANMC00000000.1	na	1005420	562	Escherichia coli 97.0007	strain=97.0007		latest	Contig	Minor	Full	2012/12/04	ASM31650v2	Institute for Genome Sciences	GCF_000316505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/505/GCA_000316505.2_ASM31650v2	
GCA_000316545.2	PRJNA65641	SAMN01041354	ANME00000000.1	na	1005422	562	Escherichia coli 99.0678	strain=99.0678		latest	Contig	Minor	Full	2012/12/04	ASM31654v2	Institute for Genome Sciences	GCF_000316545.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/545/GCA_000316545.2_ASM31654v2	
GCA_000316565.2	PRJNA65645	SAMN01041355	ANMF00000000.1	na	1005424	562	Escherichia coli 99.0713	strain=99.0713		latest	Contig	Minor	Full	2012/12/04	ASM31656v2	Institute for Genome Sciences	GCF_000316565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/565/GCA_000316565.2_ASM31656v2	
GCA_000316705.2	PRJNA65639	SAMN01041353	ANMD00000000.1	na	1005421	562	Escherichia coli 99.0672	strain=99.0672		latest	Scaffold	Minor	Full	2012/12/12	ASM31670v2	Institute for Genome Sciences	GCF_000316705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/705/GCA_000316705.2_ASM31670v2	
GCA_000316725.2	PRJNA65633	SAMN01041352	ANMA00000000.1	na	1005418	562	Escherichia coli 97.1742	strain=97.1742		latest	Scaffold	Minor	Full	2012/12/12	ASM31672v2	Institute for Genome Sciences	GCF_000316725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/725/GCA_000316725.2_ASM31672v2	
GCA_000316745.2	PRJNA65629	SAMN01041349	ANLZ00000000.1	na	1005416	562	Escherichia coli 97.0003	strain=97.0003		latest	Scaffold	Minor	Full	2012/12/13	ASM31674v2	Institute for Genome Sciences	GCF_000316745.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/745/GCA_000316745.2_ASM31674v2	
GCA_000316765.2	PRJNA65627	SAMN01041343	ANLY00000000.1	na	1005415	562	Escherichia coli 96.0107	strain=96.0107		latest	Scaffold	Minor	Full	2012/12/12	ASM31676v2	Institute for Genome Sciences	GCF_000316765.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/765/GCA_000316765.2_ASM31676v2	
GCA_000316785.2	PRJNA65621	SAMN01041348	ANLV00000000.1	na	1005412	562	Escherichia coli 96.0939	strain=96.0939		latest	Scaffold	Minor	Full	2012/12/12	ASM31678v2	Institute for Genome Sciences	GCF_000316785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/785/GCA_000316785.2_ASM31678v2	
GCA_000316805.2	PRJNA65623	SAMN01041347	ANLW00000000.1	na	1005413	562	Escherichia coli 96.0932	strain=96.0932		latest	Scaffold	Minor	Full	2012/12/12	ASM31680v2	Institute for Genome Sciences	GCF_000316805.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/805/GCA_000316805.2_ASM31680v2	
GCA_000316825.2	PRJNA65619	SAMN01041345	ANLU00000000.1	na	1005411	562	Escherichia coli 96.0427	strain=96.0427		latest	Scaffold	Minor	Full	2012/12/12	ASM31682v2	Institute for Genome Sciences	GCF_000316825.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/825/GCA_000316825.2_ASM31682v2	
GCA_000316845.2	PRJNA65609	SAMN01041340	ANLQ00000000.1	na	1005406	562	Escherichia coli 95.0183	strain=95.0183		latest	Scaffold	Minor	Full	2012/12/12	ASM31684v2	Institute for Genome Sciences	GCF_000316845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/845/GCA_000316845.2_ASM31684v2	
GCA_000316865.2	PRJNA65611	SAMN01041342	ANLR00000000.1	na	1005407	562	Escherichia coli 95.1288	strain=95.1288		latest	Scaffold	Minor	Full	2012/12/12	ASM31686v2	Institute for Genome Sciences	GCF_000316865.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/865/GCA_000316865.2_ASM31686v2	
GCA_000316885.2	PRJNA65613	SAMN01041341	ANLS00000000.1	na	1005408	562	Escherichia coli 95.0943	strain=95.0943		latest	Scaffold	Minor	Full	2012/12/12	ASM31688v2	Institute for Genome Sciences	GCF_000316885.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/885/GCA_000316885.2_ASM31688v2	
GCA_000316905.2	PRJNA65617	SAMN01041346	ANLT00000000.1	na	1005410	562	Escherichia coli 96.0428	strain=96.0428		latest	Scaffold	Minor	Full	2012/12/12	ASM31690v2	Institute for Genome Sciences	GCF_000316905.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/905/GCA_000316905.2_ASM31690v2	
GCA_000317395.1	PRJNA179371	SAMN02469330	ANHV00000000.1	na	1258580	562	Escherichia coli LCT-EC59	strain=LCT-EC59		latest	Scaffold	Major	Full	2012/12/07	genome assembly of LCT-EC59 strain of E.coli	Beijing Genomics Institute	GCF_000317395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/395/GCA_000317395.1_genome_assembly_of_LCT-EC59_strain_of_E.coli	
GCA_000318425.2	PRJNA65625	SAMN01041344	ANLX00000000.1	na	1005414	562	Escherichia coli 96.0109	strain=96.0109		latest	Scaffold	Minor	Full	2012/12/12	ASM31842v2	Institute for Genome Sciences	GCF_000318425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/425/GCA_000318425.2_ASM31842v2	
GCA_000318445.2	PRJNA65635	SAMN01041351	ANMB00000000.1	na	1005419	562	Escherichia coli 97.0010	strain=97.0010		latest	Scaffold	Minor	Full	2012/12/12	ASM31844v2	Institute for Genome Sciences	GCF_000318445.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/445/GCA_000318445.2_ASM31844v2	
GCA_000319835.1	PRJNA174140	SAMN01141742	AMVW00000000.1	na	1240773	562	Escherichia coli O104:H4 str. 11-02318	strain=11-02318		latest	Scaffold	Major	Full	2012/12/13	Esch_coli_11-02318_V1	Broad Institute	GCF_000319835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/835/GCA_000319835.1_Esch_coli_11-02318_V1	
GCA_000319855.1	PRJNA76801	SAMN00771318	AGWF00000000.1	na	1240758	562	Escherichia coli O104:H4 str. Ec11-9450	strain=Ec 11-9450		latest	Scaffold	Major	Full	2012/12/13	Esch_coli_Ec_11-9450_V2	Broad Institute	GCF_000319855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/855/GCA_000319855.1_Esch_coli_Ec_11-9450_V2	
